<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;050922;153200;251.3400000;251.3500000;251.3100000;251.3400000;15650
GAZP;1;050922;153300;251.3400000;251.3500000;251.3000000;251.3300000;13790
GAZP;1;050922;153400;251.3300000;251.3500000;251.3000000;251.3000000;91770
GAZP;1;050922;153500;251.3100000;251.3500000;251.3000000;251.3100000;36940
GAZP;1;050922;153600;251.3200000;251.3500000;251.3000000;251.3400000;62910
GAZP;1;050922;153700;251.3300000;251.3400000;251.0500000;251.0500000;386570
GAZP;1;050922;153800;251.0600000;251.2000000;251.0600000;251.1500000;17130
GAZP;1;050922;153900;251.1500000;251.1800000;251.0500000;251.1200000;16380
GAZP;1;050922;154000;251.1400000;251.2000000;251.1000000;251.1500000;29930
GAZP;1;050922;154100;251.1500000;251.1500000;250.8000000;250.8800000;112810
GAZP;1;050922;154200;250.8900000;251.0500000;250.8000000;251.0500000;26370
GAZP;1;050922;154300;251.0400000;251.2500000;251.0400000;251.1900000;17860
GAZP;1;050922;154400;251.1900000;251.2000000;251.0900000;251.1500000;11680
